road,count
屏東縣屏東市厚生里建民路,39
屏東縣新埤鄉中正路,39
屏東縣枋山鄉中山路段,39
屏東縣屏東市勝豐里自由路,39
屏東縣屏東市勝利里自由路,39
屏東縣新園鄉五房村五房路,39
屏東縣屏東市豐田里民學路,39
屏東縣屏東市環河路,39
屏東縣萬巒鄉褒忠路,39
屏東縣屏東市萬年里復興路,38
屏東縣南州鄉勝利路,38
屏東縣屏東市長春里廣東路,38
屏東縣枋寮鄉中正大路,38
屏東縣麟洛鄉中山,38
屏東縣恆春鎮網紗里省北路,38
屏東縣麟洛鄉南二高平面道路,38
屏東縣東港鎮興東路,38
屏東縣內埔鄉龍泉村中勝路,38
屏東縣九如鄉後庄路,38
屏東縣屏東市龍華路,38
屏東縣萬丹鄉竹林村大學路,38
屏東縣屏東市湖西里和生路一段,37
屏東縣潮州鎮三林路,37
屏東縣長治鄉崑崙路,37
屏東縣獅子鄉台9,37
屏東縣鹽埔鄉德協路,37
屏東縣新園鄉台17線,37
屏東縣屏東市義勇里復興路,36
屏東縣潮州鎮光春里光春路,36
屏東縣鹽埔鄉光復路,36
屏東縣屏東市崇蘭里博愛路,36
屏東縣東港鎮朝隆路,36
屏東縣東港鎮博愛街,36
屏東縣屏東市仁愛里廣東路,36
屏東縣枋山鄉舊?路段,36
屏東縣內埔鄉中興路,36
屏東縣內埔鄉昇華路,36
屏東縣屏東市瑞光里瑞光路一段,36
屏東縣萬丹鄉西環路,36
屏東縣新埤鄉台一線,36
屏東縣屏東市瑞光路一段,36
屏東縣高樹鄉泰山村產業路,35
屏東縣屏東市金泉里復興路,35
屏東縣枋寮鄉中山路段,35
屏東縣屏東市頂宅里和生路一段,35
屏東縣內埔鄉內田村復興路,35
屏東縣恆春鎮船帆路,35
屏東縣屏東市大同路,35
屏東縣竹田鄉永豐路,35
屏東縣屏東市永安里建南路,34
屏東縣九如鄉黃金路,34
屏東縣屏東市北興里廣東路,34
屏東縣恆春鎮山腳里恆公路,34
屏東縣屏東市維新里公園西路,34
屏東縣新園鄉進德大橋北端,34
屏東縣萬丹鄉萬丹路三段,34
屏東縣潮州鎮新生里新生路,34
屏東縣屏東市豐田里廣東路,34
屏東縣萬丹鄉磚寮村大昌路,34
屏東縣竹田鄉永豐村永豐路,34
屏東縣萬丹鄉新鐘村新鐘路,34
屏東縣恆春鎮砂島路段,34
屏東縣屏東市勝利里中山路,34
屏東縣屏東市永順里和平路,34
屏東縣內埔鄉自強路,34
屏東縣新園鄉鹽埔村?洲路,34
屏東縣萬丹鄉四維村四維東路,33
屏東縣屏東市豐榮里民享路,33
屏東縣屏東市斯文里信義路,33
屏東縣潮州鎮永坤路,33
屏東縣屏東市豐榮里勝利東路,33
屏東縣屏東市華盛街,33
屏東縣竹田鄉西勢村龍門路,33
屏東縣屏東市復興南路,33
屏東縣枋寮鄉隆山路,33
屏東縣長治鄉南二高下平面道路,33
屏東縣萬巒鄉萬巒村褒忠路,33
屏東縣林邊鄉中林路,33
屏東縣屏東市逢甲路,33
屏東縣內埔鄉黎明村西淇路,32
屏東縣恆春鎮南門路,32
屏東縣萬丹鄉萬生村萬壽路一段,32
屏東縣萬巒鄉佳和村佳興路,32
屏東縣萬丹鄉四維東路,32
屏東縣恆春鎮大光里大光路,32
屏東縣屏東市太平里勝利路,32
屏東縣萬丹鄉?南路,32
屏東縣潮州鎮民治路,32
屏東縣內埔鄉台1線,32
屏東縣九如鄉九清村九如路二段,31
屏東縣佳冬鄉台17,31
屏東縣潮州鎮三共里延平路,31
屏東縣屏東市長春里林森路,31
屏東縣萬丹鄉田厝村惠崙路,31
屏東縣萬巒鄉赤山村建興路,31
屏東縣屏東市玉成里公興路,31
屏東縣萬丹鄉廣安村萬丹路二段,31
屏東縣南州鄉人和路,31
屏東縣萬巒鄉萬巒村中正路,31
屏東縣潮州鎮北門路,31
屏東縣潮州鎮志成路,31
屏東縣枋寮鄉建興路,31
屏東縣屏東市復興南路二段,31
屏東縣恆春鎮砂尾路,31
屏東縣屏東市青島街,31
屏東縣九如鄉九如路2段,31
屏東縣佳冬鄉台1線,31
屏東縣佳冬鄉大豐路,30
屏東縣屏東市大同里復興路,30
屏東縣內埔鄉美和村四維路,30
屏東縣屏東市清溪里和生路二段,30
屏東縣屏東市橋北里廣東路,30
屏東縣竹田鄉西勢村光明路,30
屏東縣潮州鎮五魁里太平路,30
屏東縣佳冬鄉佳冬鄉台一線,30
屏東縣屏東市龍華里復興南路一段,30
屏東縣內埔鄉水門村中山路,30
屏東縣恆春鎮恆東路,30
屏東縣萬丹鄉香社村中興路一段,30
屏東縣萬丹鄉寶厝村中興路二段,30
屏東縣竹田鄉屏188線,30
屏東縣恆春鎮台26線,30
屏東縣萬丹鄉萬全村萬丹路1段,30
屏東縣屏東市安鎮里建國路,29
屏東縣屏東市慶春里自由路,29
屏東縣麟洛鄉民權路,29
屏東縣屏東市泰安里公園路,29
屏東縣屏東市前進里大溪路,29
屏東縣屏東市古松西巷,29
屏東縣屏東市光榮里中山路,29
屏東縣屏東市民享路,29
屏東縣潮州鎮榮田路,29
屏東縣屏東市大埔里民族路,28
屏東縣屏東市空翔里勝利路,28
屏東縣屏東市湖西里歸仁路,28
屏東縣屏東市永光里光復路,28
屏東縣新園鄉鹽埔村鹽洲路,28
屏東縣萬丹鄉新鐘路,28
屏東縣潮州鎮南京路,28
屏東縣恆春鎮恆東路段,28
屏東縣內埔鄉中勝路,28
屏東縣里港鄉鐵店村鐵店路,28
屏東縣東港鎮大潭里大潭路,28
屏東縣里港鄉過江路,28
屏東縣恆春鎮船帆路段,28
屏東縣內埔鄉興南村展興路,28
屏東縣恆春鎮恆西路,28
屏東縣潮州鎮通潮路,28
屏東縣屏東市莊敬街,28
屏東縣屏東市崇武里華盛街,27
屏東縣潮州鎮光華里中山路,27
屏東縣新園鄉義仁路,27
屏東縣屏東市華山里華正路,27
屏東縣東港鎮興東里中正路二段,27
屏東縣屏東市大同里光復路,27
屏東縣萬丹鄉新南路,27
屏東縣屏東市維新里和平路,27
屏東縣屏東市太平里中華路,27
屏東縣高樹鄉高樹村南興路,27
屏東縣屏東市豐榮里自由路,27
屏東縣新園鄉東港大橋北端,27
屏東縣竹田鄉大成路,27
屏東縣屏東市橋南里和生路一段,27
屏東縣屏東市高原街,27
屏東縣屏東市康定街,27
屏東縣琉球鄉中正路,27
屏東縣屏東市崇禮里民族路,27
屏東縣枋寮鄉台17線,27
屏東縣屏東市公勇路,27
屏東縣竹田鄉公正路,27
屏東縣東港鎮興東里沿海路,27
屏東縣東港鎮水源路,26
屏東縣潮州鎮建基路,26
屏東縣屏東市歸心里歸仁路,26
屏東縣潮州鎮三共里四維路,26
屏東縣屏東市潭墘里和平路,26
屏東縣東港鎮興東里明德路,26
屏東縣九如鄉後庄村後庄路,26
屏東縣里港鄉玉田路,26
屏東縣恆春鎮鵝鑾路段,26
屏東縣萬巒鄉中正路,26
屏東縣屏東市泰安里忠孝路,26
屏東縣新園鄉光復路,26
屏東縣屏東市扶風里林森路,26
屏東縣林邊鄉中興路,26
屏東縣萬丹鄉萬惠村惠崙路,26
屏東縣萬巒鄉沿山公路,26
屏東縣屏東市萬年里建國路,26
屏東縣內埔鄉富豐路,26
屏東縣新埤鄉南興路,26
屏東縣內埔鄉復興路,26
屏東縣潮州鎮三進路,26
屏東縣霧臺鄉台24線,26
屏東縣屏東市中柳路,25
屏東縣潮州鎮福星路,25
屏東縣萬丹鄉台88,25
屏東縣屏東市金泉里仁愛路,25
屏東縣屏東市勝利里成功路,25
屏東縣屏東市,25
屏東縣新園鄉平和路,25
屏東縣南州鄉仁里路,25
屏東縣屏東市台糖街,25
屏東縣萬丹鄉萬順路一段,25
屏東縣鹽埔鄉高朗村三民路,25
屏東縣里港鄉舊鐵道路,25
屏東縣潮州鎮育英路,25
屏東縣屏東市潭墘里大同北路,25
屏東縣竹田鄉光明路,25
屏東縣萬丹鄉新鐘村萬新路,25
屏東縣內埔鄉大新村大新路,25
屏東縣屏東市中正里廣東路,25
屏東縣潮州鎮西外環道,25
屏東縣恆春鎮龍泉路,25
屏東縣新園鄉新南路,25
屏東縣竹田鄉自強路,25
屏東縣內埔鄉豐田村新中路,25
屏東縣恆春鎮新興路,25
屏東縣萬丹鄉萬壽路一段,24
屏東縣竹田鄉水源路,24
屏東縣屏東市橋北里民生路,24
屏東縣潮州鎮中洲路,24
屏東縣萬丹鄉崙頂村惠崙路,24
屏東縣新園鄉新東路,24
屏東縣竹田鄉潮州路,24
屏東縣恆春鎮復興路,24
屏東縣恆春鎮仁壽里省北路二段,24
屏東縣高樹鄉源泉村同興路,24
屏東縣內埔鄉富田村里義路,24
屏東縣東港鎮新生三路,24
屏東縣屏東市自由西路,24
屏東縣內埔鄉東片村大同路四段,24
屏東縣內埔鄉文化路,24
屏東縣屏東市金城街,24
屏東縣內埔鄉新生路,24
屏東縣琉球鄉中山路,24
屏東縣屏東市堤頂道路,24
屏東縣屏東市仁愛里自由路,24
屏東縣潮州鎮五福路,24
屏東縣內埔鄉西淇路,24
屏東縣屏東市大成路,24
屏東縣竹田鄉台88線,24
屏東縣潮州鎮三星路,24
屏東縣屏東市和生路2段,24
屏東縣屏東市復興南路1段,24
屏東縣車城鄉尖山路,23
屏東縣屏東市永安里建興南路,23
屏東縣屏東市歸心里和生路一段,23
屏東縣東港鎮興漁街,23
屏東縣里港鄉春林村里中路,23
屏東縣新埤鄉屏189線,23
屏東縣屏東市廣勝路,23
屏東縣屏東市端正里中華路,23
屏東縣瑪家鄉三和村三和路,23
屏東縣屏東市瑞光里和生路一段,23
屏東縣屏東市斯文里自由路,23
屏東縣屏東市信和里忠孝路,23
屏東縣恆春鎮城西里西門路,23
屏東縣長治鄉新興路,23
屏東縣屏東市建民路,23
屏東縣萬丹鄉中興路二段,23
屏東縣長治鄉下寮巷,23
屏東縣新園鄉台27線,23
屏東縣屏東市擇仁里復興路,23
屏東縣萬丹鄉萬生村丹榮路,23
屏東縣萬丹鄉上村村和平西路,23
屏東縣里港鄉茄苳路,23
屏東縣崁頂鄉力社村??路,23
屏東縣屏東市泰安里信義路,22
屏東縣內埔鄉昌宏路,22
屏東縣萬丹鄉萬順路,22
屏東縣屏東市一心里廣東南路,22
屏東縣屏東市北勢里自由路,22
屏東縣內埔鄉振豐村中正路,22
屏東縣里港鄉鐵店路,22
屏東縣潮州鎮華興路,22
屏東縣屏東市溝美里勝利路,22
屏東縣萬巒鄉赤山村東山路,22
屏東縣九如鄉耆老村九如路三段,22
屏東縣南州鄉七塊村三民路,22
屏東縣屏東市信和里海豐街,22
屏東縣枋寮鄉台17,22
屏東縣枋寮鄉中正大路段,22
屏東縣恆春鎮北門路,22
屏東縣內埔鄉原勝路,22
屏東縣屏東市厚生里和平路,22
屏東縣萬丹鄉崙頂村,22
屏東縣屏東市頂柳路,22
屏東縣高樹鄉泰山村三民路,22
屏東縣屏東市明正里中華路,22
屏東縣屏東市工業路,22
屏東縣東港鎮興東里興東路,22
屏東縣屏東市上海路,22
屏東縣新園鄉新生路,22
屏東縣里港鄉塔樓路,22
屏東縣東港鎮中正路三段,22
屏東縣新埤鄉新華路,22
屏東縣屏東市福建路,22
屏東縣南州鄉台1線,22
屏東縣東港鎮下?路,22
屏東縣屏東市大湖路,22
屏東縣枋寮鄉沿山公路,21
屏東縣東港鎮興台里中山路,21
屏東縣屏東市新興里公興路,21
屏東縣萬丹鄉南北路一段,21
屏東縣屏東市大同北路,21
屏東縣潮州鎮永春里興隆路,21
屏東縣新園鄉南龍村南興路,21
屏東縣屏東市武廟里中山路,21
屏東縣竹田鄉台88,21
屏東縣恆春鎮草潭路,21
屏東縣屏東市大湖里大湖路,21
屏東縣佳冬鄉佳冬鄉台17線,21
屏東縣里港鄉塔樓村塔樓路,21
屏東縣屏東市長安里光復路,21
屏東縣九如鄉光復街,21
屏東縣里港鄉茄苳村茄苳路,21
屏東縣屏東市建華一街,21
屏東縣枋山鄉舊庄路段,21
屏東縣新埤鄉萬隆村中山路,21
屏東縣新園鄉?州路,21
屏東縣萬丹鄉萬生村萬新路,21
屏東縣枋山鄉枋山鄉台26線,21
屏東縣東港鎮嘉新路,21
屏東縣里港鄉玉田村玉田路,21
屏東縣屏東市必信里和平路,21
屏東縣新埤鄉新中路,21
屏東縣竹田鄉美崙村美崙路,20
屏東縣屏東市北勢里廣東路,20
屏東縣九如鄉國道3號,20
屏東縣屏東市玉成里大成路,20
屏東縣高樹鄉產業路,20
屏東縣屏東市大同里逢甲路,20
屏東縣屏東市建國里自由路,20
屏東縣內埔鄉東勢村大同路三段,20
屏東縣萬丹鄉南北路三段,20
屏東縣屏東市永城里中山路,20
屏東縣麟洛鄉台1,20
屏東縣佳冬鄉佳和路段,20
