road,count
南投縣草屯鎮忠孝街,12
南投縣草屯鎮南坪路,12
南投縣國姓鄉國姓村國姓路,12
南投縣草屯鎮復興路,12
南投縣竹山鎮福興里鯉南路,12
南投縣埔里鎮民富路,12
南投縣國姓鄉台21,12
南投縣埔里鎮中山路,12
南投縣名間鄉松柏村名松路二段,12
南投縣草屯鎮玉峰里平等街,12
南投縣埔里鎮明德路,12
南投縣草屯鎮北勢里玉屏路,12
南投縣埔里鎮水頭里中正路,12
南投縣草屯鎮碧洲里碧峰路,12
南投縣水里鄉縣131線,12
南投縣草屯鎮上林里太平路1段,12
南投縣竹山鎮社寮里大公街,11
南投縣集集鎮和平里民生路,11
南投縣埔里鎮虎山路,11
南投縣草屯鎮和平里太平路,11
南投縣埔里鎮南盛街,11
南投縣草屯鎮東美街,11
南投縣信義鄉投59,11
南投縣草屯鎮北投路,11
南投縣竹山鎮延正路,11
南投縣草屯鎮玉峰街,11
南投縣竹山鎮竹圍里大明路,11
南投縣南投市藍田街,11
南投縣名間鄉名山路一段,11
南投縣埔里鎮東門里東華路,11
南投縣集集鎮永昌里民生路,11
南投縣竹山鎮延祥里鹿山路,11
南投縣南投市內興里新興路,11
南投縣仁愛鄉中正路,11
南投縣草屯鎮山腳里民權路,11
南投縣竹山鎮竹山里雲林路,11
南投縣仁愛鄉投83,11
南投縣南投市工業東路,11
南投縣南投市內興里東閔路,11
南投縣竹山鎮竹山里祖師街,11
南投縣竹山鎮桶頭里鯉南路,11
南投縣信義鄉投59線,11
南投縣草屯鎮明正里成功路,11
南投縣埔里鎮中正三路,11
南投縣南投市光華里光華路,11
南投縣南投市嘉和二路,11
南投縣南投市省府圓環,11
南投縣埔里鎮公誠路,11
南投縣埔里鎮南村里桃南路,11
南投縣埔里鎮六合路,11
南投縣竹山鎮集山路3段,11
南投縣名間鄉新大巷,11
南投縣草屯鎮山腳里嘉興街,11
南投縣竹山鎮雲林里集山路3段,11
南投縣鹿谷鄉初鄉村中正路3段,11
南投縣魚池鄉通文巷,10
南投縣名間鄉大廈巷,10
南投縣埔里鎮梅村路,10
南投縣竹山鎮中山里建國路,10
南投縣南投市營北里中學西路,10
南投縣竹山鎮延平里延平路,10
南投縣南投市營南里東閔路,10
南投縣竹山鎮南雲路,10
南投縣名間鄉大庄村南田路,10
南投縣埔里鎮西門里仁愛路,10
南投縣草屯鎮復興里草溪路,10
南投縣國姓鄉北山村中正路四段,10
南投縣南投市中學街,10
南投縣名間鄉山腳巷,10
南投縣竹山鎮竹圍里大禮路,10
南投縣竹山鎮下坪路,10
南投縣南投市嘉興里彰南路一段,10
南投縣草屯鎮中山里成功路,10
南投縣名間鄉庄仔巷,10
南投縣鹿谷鄉中正一路,10
南投縣竹山鎮中和里前山路二段,10
南投縣水里鄉131線,10
南投縣南投市光明南路,10
南投縣竹山鎮頂林路,10
南投縣集集鎮八張里八張街,10
南投縣埔里鎮大同街,10
南投縣竹山鎮延平一路,10
南投縣草屯鎮敦和里芬草路一段,10
南投縣南投市永鳴路,10
南投縣南投市龍井街,10
南投縣竹山鎮自強路,10
南投縣竹山鎮富州里集山路一段,10
南投縣南投市新興路,10
南投縣南投市福岡路,10
南投縣草屯鎮碧洲里復興路,10
南投縣草屯鎮和平里太平路2段,10
南投縣竹山鎮延和里集山路3段,10
南投縣集集鎮投54,10
南投縣埔里鎮枇杷里中華路,9
南投縣南投市大同南街,9
南投縣埔里鎮同聲里隆生路,9
南投縣名間鄉新厝村新厝路,9
南投縣南投市光明里中正路,9
南投縣草屯鎮建興街,9
南投縣草屯鎮和平里和興街,9
南投縣水里鄉北埔村民族路,9
南投縣草屯鎮新豐里番子田路,9
南投縣草屯鎮永安路,9
南投縣水里鄉新城村中山路二段,9
南投縣草屯鎮土城里玉屏路,9
南投縣南投市光榮里中正路,9
南投縣埔里鎮公園路,9
南投縣國姓鄉國姓村中興路,9
南投縣竹山鎮中央里集山路一段,9
南投縣南投市光華里中正路,9
南投縣草屯鎮明正里敦和路,9
南投縣草屯鎮富寮里玉屏路,9
南投縣埔里鎮北安路,9
南投縣名間鄉董門巷,9
南投縣名間鄉赤水村南田路,9
南投縣埔里鎮房里路,9
南投縣南投市仁德路,9
南投縣草屯鎮山腳里新富路,9
南投縣竹山鎮延平路,9
南投縣集集鎮玉映里民生路,9
南投縣草屯鎮墩煌路四段,9
南投縣信義鄉投60,9
南投縣埔里鎮北門里中山路二段,9
南投縣草屯鎮日新街,9
南投縣草屯鎮中山里明賢街,9
南投縣草屯鎮青宅巷,9
南投縣仁愛鄉投80,9
南投縣草屯鎮坪頂里南坪路,9
南投縣南投市光明路,9
南投縣南投市環山路,9
南投縣中寮鄉爽文村龍南路,9
南投縣埔里鎮合成里西安路三段,9
南投縣名間鄉客庄巷,9
南投縣竹山鎮?坑巷,9
南投縣草屯鎮新庄里史館路,9
南投縣草屯鎮炎峰里玉峰街,9
南投縣埔里鎮中山路3段,9
南投縣南投市彰南路3段,9
南投縣水里鄉頂崁村水信路1段,9
南投縣南投市營北里省府路,8
南投縣埔里鎮福興里福興路,8
南投縣集集鎮集集里集集街,8
南投縣南投市三興里南崗一路,8
南投縣草屯鎮台14,8
南投縣草屯鎮御史里中和路,8
南投縣草屯鎮明正里芬草路,8
南投縣草屯鎮富中路,8
南投縣名間鄉南雅村南雲路,8
南投縣竹山鎮延祥路,8
南投縣草屯鎮石川路,8
南投縣竹山鎮延和里大和街,8
南投縣草屯鎮新庄里日新街,8
南投縣草屯鎮山腳里民生路,8
南投縣南投市順溪北路,8
南投縣草屯鎮和平里中興路,8
南投縣草屯鎮育英街,8
南投縣埔里鎮杷城里南安路,8
南投縣名間鄉新民巷,8
南投縣埔里鎮種瓜路,8
南投縣集集鎮,8
南投縣信義鄉投63,8
南投縣中寮鄉永平村永安街,8
南投縣草屯鎮御史里博愛路,8
南投縣埔里鎮清新里育英街,8
南投縣草屯鎮墩煌路一段,8
南投縣名間鄉名竹路,8
南投縣名間鄉頂?巷,8
南投縣草屯鎮新富路,8
南投縣草屯鎮加老里墩煌路三段,8
南投縣草屯鎮加老里加老東路,8
南投縣鹿谷鄉竹豐村光復路,8
南投縣竹山鎮桂林里竹山路,8
南投縣國姓鄉石門村國姓路,8
南投縣南投市內興里光明南路,8
南投縣草屯鎮和平里育英街,8
南投縣埔里鎮雙吉路,8
南投縣草屯鎮富春路,8
南投縣草屯鎮加老里加老路,8
南投縣草屯鎮敦和里中山街,8
南投縣南投市內興里南營路,8
南投縣草屯鎮北投里碧興路二段,8
南投縣南投市工業北路,8
南投縣集集鎮八張街,8
南投縣南投市自強路,8
南投縣埔里鎮枇杷里中心路,8
南投縣埔里鎮大城里南環路,8
南投縣魚池鄉水社村,8
南投縣南投市營北里向上路,8
南投縣竹山鎮延和里江西路,8
南投縣埔里鎮枇杷里慈恩街,8
南投縣竹山鎮延和里鹿山路,8
南投縣中寮鄉崁頂村中集路,8
南投縣竹山鎮集山路2段,8
南投縣國姓鄉北港村國姓路,8
南投縣草屯鎮山腳里正氣街,8
南投縣集集鎮名水路二段,8
南投縣草屯鎮碧興路二段,7
南投縣名間鄉虎坑巷,7
南投縣埔里鎮同聲里南安路,7
南投縣埔里鎮北梅里信義路,7
南投縣南投市三和里中興路,7
南投縣埔里鎮武界路,7
南投縣水里鄉永豐村永豐路,7
南投縣南投市內興里祖祠路,7
南投縣草屯鎮中投公路,7
南投縣南投市內興里光明一路,7
南投縣草屯鎮炎峰里中興路,7
南投縣草屯鎮新庄里新庄二路,7
南投縣埔里鎮清新里南安路,7
南投縣埔里鎮三勰路,7
南投縣名間鄉蓮蕉巷,7
南投縣仁愛鄉投89,7
南投縣名間鄉出林虎路,7
南投縣南投市永興里八卦路,7
南投縣埔里鎮樹人三街,7
南投縣埔里鎮北門里西安路一段,7
南投縣埔里鎮永豐路,7
南投縣草屯鎮新庄里新庄一路,7
南投縣集集鎮吳厝里民權路,7
南投縣集集鎮民權路,7
南投縣南投市吉利路,7
南投縣南投市福山里八德路,7
南投縣南投市平和里育樂路,7
南投縣魚池鄉水社村中正路,7
南投縣南投市光明里光明一路,7
南投縣集集鎮139,7
南投縣南投市振興里芳美路,7
南投縣草屯鎮中正里敦和路,7
南投縣水里鄉南光村中山路,7
南投縣名間鄉出林虎路一段,7
南投縣埔里鎮房里里房里路,7
南投縣草屯鎮明賢街,7
南投縣南投市成功街,7
南投縣南投市內新里南營路,7
南投縣水里鄉北埔村博愛路,7
南投縣南投市光輝里省府路,7
南投縣仁愛鄉台8,7
南投縣國姓鄉大長路,7
南投縣竹山鎮竹圍里前山路一段,7
