road,count
高雄市楠梓區土庫一路,163
高雄市小港區學府路,163
高雄市岡山區嘉新東路,163
高雄市鳳山區中正路,162
高雄市苓雅區自強三路,160
高雄市三民區河堤路,159
高雄市左營區勝利路,159
高雄市旗津區中洲三路,158
高雄市鳳山區光復路1段,157
高雄市旗山區中華路,157
高雄市楠梓區楠陽路,157
高雄市三民區澄和路,156
高雄市新興區新田路,156
高雄市鳳山區瑞興路,155
高雄市鳥松區圓山路,154
高雄市三民區明誠二路,154
高雄市燕巢區中民路,153
高雄市燕巢區角宿路,153
高雄市旗津區旗津三路,153
高雄市前金區六合二路,152
高雄市鼓山區龍德路,152
高雄市彌陀區,151
高雄市三民區大豐一路,151
高雄市大社區金龍路,151
高雄市鳳山區三商街,150
高雄市楠梓區海專路,150
高雄市阿蓮區中山路,148
高雄市三民區大順一路,148
高雄市小港區孔鳳路,147
高雄市小港區二苓路,145
高雄市大寮區大漢路,144
高雄市小港區小港路,144
高雄市三民區鼎金後路,143
高雄市前鎮區擴建路,143
高雄市左營區大順一路,143
高雄市前鎮區班超路,142
高雄市燕巢區鳳旗路,142
高雄市湖內區東方路,141
高雄市小港區康莊路,141
高雄市橋頭區甲樹路,140
高雄市大寮區力行路,140
高雄市楠梓區惠民路,140
高雄市鳳山區武營路,138
高雄市旗山區旗南三路,138
高雄市小港區翠亨南路,136
高雄市大寮區中正路,136
高雄市前鎮區鎮興路,136
高雄市林園區王公路,135
高雄市三民區十全二路,135
高雄市旗津區旗津二路,134
高雄市大社區和平路2段,134
高雄市前鎮區廣西路,134
高雄市楠梓區開發路,133
高雄市前鎮區德昌路,133
高雄市岡山區本洲路,133
高雄市岡山區介壽東路,133
高雄市鳳山區大明路,132
高雄市鳥松區大同路,132
高雄市鳳山區中崙路,132
高雄市新興區中正四路,132
高雄市旗津區,131
高雄市大寮區八德路,131
高雄市小港區北林路,131
高雄市前金區成功一路,130
高雄市鼓山區臨海二路,130
高雄市岡山區柳橋西路,130
高雄市前鎮區民權二路,129
高雄市鼓山區美術館路,129
高雄市鳳山區文濱路,128
高雄市小港區中林路,128
高雄市仁武區學府路,128
高雄市仁武區八德中路,127
高雄市岡山區仁壽路,127
高雄市大樹區久堂路,124
高雄市鳳山區自強一路,124
高雄市梓官區大舍南路,123
高雄市左營區政德路,122
高雄市茄萣區白砂路,122
高雄市大寮區光明路1段,122
高雄市苓雅區廣州一街,121
高雄市鳥松區學堂路,121
高雄市前鎮區瑞福路,121
高雄市梓官區梓官路,121
高雄市橋頭區橋新六路,121
高雄市鳳山區曹公路,120
高雄市內門區,119
高雄市大寮區翁園路,119
高雄市前鎮區草衙一路,119
高雄市苓雅區武營路,119
高雄市苓雅區福德二路,119
高雄市左營區明華一路,119
高雄市三民區中華三路,119
高雄市旗山區旗南一路,119
高雄市新興區青年一路,119
高雄市岡山區介壽路,119
高雄市三民區同盟三路,118
高雄市三民區吉林街,118
高雄市鼓山區明華路,118
高雄市林園區沿海路2段,118
高雄市大樹區竹寮路,118
高雄市永安區,117
高雄市左營區重立路,117
高雄市苓雅區林森二路,117
高雄市旗山區延平二路,117
高雄市大寮區縣一八八道路,117
高雄市新興區復興一路,116
高雄市苓雅區憲政路,116
高雄市前鎮區凱旋三路,116
高雄市鳥松區文前路,116
高雄市鳥松區球場路,115
高雄市鼓山區馬卡道路,115
高雄市楠梓區常德路,115
高雄市左營區蓮潭路,115
高雄市鼓山區明誠四路,114
高雄市左營區曾子路,114
高雄市三民區褒揚街,114
高雄市仁武區澄觀路1段,114
高雄市大樹區井腳路,114
高雄市大寮區永芳路,113
高雄市仁武區中華路,113
高雄市前鎮區康定路,112
高雄市岡山區壽天路,112
高雄市前鎮區和平二路,112
高雄市大社區中華路,112
高雄市鳳山區輜汽路,111
高雄市橋頭區仕豐路,111
高雄市鳳山區文化路,111
高雄市苓雅區苓雅二路,111
高雄市左營區至真路,111
高雄市鳳山區南正二路,110
高雄市前鎮區崗山中街,110
高雄市仁武區水管路3段,109
高雄市大寮區捷西路,108
高雄市左營區新莊一路,108
高雄市鳳山區王生明路,108
高雄市仁武區仁勇路,107
高雄市旗山區中正路,107
高雄市旗山區旗甲路2段,107
高雄市新興區中正二路,107
高雄市湖內區中正路2段,107
高雄市大社區翠屏路,106
高雄市大寮區仁愛路,105
高雄市新興區大同一路,105
高雄市鹽埕區新樂街,105
高雄市鳳山區勝利路,104
高雄市鼓山區臨海一路,103
高雄市前鎮區瑞北路,102
高雄市大樹區溪埔路,102
高雄市鳳山區中崙二路,101
高雄市鼓山區青海路,101
高雄市三民區大中一路,101
高雄市三民區裕誠路,100
高雄市旗山區旗甲路1段,100
高雄市楠梓區三山街,99
高雄市苓雅區輔仁路,99
高雄市三民區九如三路,99
高雄市梓官區中正路,99
高雄市三民區國道1號,98
高雄市鳳山區南榮路,98
高雄市三民區金山路,97
高雄市三民區同盟二路,97
高雄市橋頭區隆豐路,97
高雄市左營區大中一路,96
高雄市大寮區前庄路,96
高雄市旗津區中洲二路,96
高雄市左營區文川路,96
高雄市大寮區光華路,95
高雄市鼓山區美術東四路,95
高雄市苓雅區文橫二路,95
高雄市美濃區中正路2段,95
高雄市左營區重愛路,95
高雄市三民區熱河二街,94
高雄市新興區錦田路,94
高雄市鳳山區維武路,94
高雄市美濃區中興路1段,94
高雄市彌陀區中正東路,93
高雄市大寮區三隆路,93
高雄市前鎮區中平路,93
高雄市林園區鳳林路1段,93
高雄市三民區本館路,93
高雄市鳳山區三民路,92
高雄市大寮區四維路,92
高雄市苓雅區河南路,92
高雄市鳳山區鳳東路,92
高雄市岡山區公園西路3段,92
高雄市大寮區成功路,92
高雄市岡山區維仁路,91
高雄市小港區平和路,91
高雄市楠梓區大學南路,91
高雄市林園區鳳林路2段,91
高雄市三民區皓東路,91
高雄市三民區鼎強街,90
高雄市梓官區信義路,90
高雄市橋頭區芋寮路,90
高雄市湖內區湖中路,90
高雄市鳳山區過勇路,89
高雄市大樹區統嶺路,89
高雄市鳳山區濱山街,89
高雄市旗山區旗南二路,89
高雄市前鎮區崗山南街,89
高雄市鳳山區光華東路,89
高雄市仁武區竹楠路,89
高雄市大寮區新厝路,89
高雄市三民區村民族一路,89
高雄市大寮區正氣路,88
高雄市岡山區大莊路,88
高雄市三民區孝順街,88
高雄市楠梓區瑞屏路,88
高雄市前鎮區三多二路,88
高雄市三民區凱旋一路,88
高雄市小港區大鵬路,87
高雄市岡山區介壽西路,87
高雄市前鎮區鎮中路,87
高雄市苓雅區河北路,86
高雄市永安區維新路,86
高雄市鼓山區蓮海路,86
高雄市仁武區八德東路,86
高雄市苓雅區民權一路,86
高雄市三民區山東街,86
高雄市橋頭區白樹路,86
高雄市湖內區保生路,85
高雄市岡山區柳橋東路,85
高雄市左營區後昌路,85
高雄市鳳山區臨海路,85
高雄市岡山區嘉新西路,84
高雄市大樹區九大路,83
高雄市鳳山區光華路,83
高雄市小港區大平路,83
高雄市苓雅區海邊路,83
高雄市大樹區中正一路,83
高雄市大寮區會結路,82
高雄市仁武區八德二路,82
高雄市大寮區江山路,82
高雄市新興區六合二路,82
高雄市岡山區嘉峰路,82
高雄市岡山區通校路,82
高雄市旗山區旗文路,82
高雄市彌陀區中正路,81
高雄市左營區文學路,81
高雄市苓雅區同慶路,81
高雄市阿蓮區忠孝路,81
高雄市仁武區永仁街,81
高雄市左營區明潭路,81
高雄市大寮區中興路,81
高雄市左營區至聖路,81
高雄市鳥松區松埔路,80
高雄市三民區正興路,80
高雄市岡山區河華路,80
高雄市大樹區九曲路,80
高雄市岡山區阿公店路2段,80
高雄市湖內區信義路,79
高雄市前金區市中一路,79
高雄市鳳山區龍成路,79
高雄市大樹區中山路,78
高雄市前金區河東路,78
高雄市岡山區大義二路,78
高雄市大寮區華中路,77
高雄市仁武區仁孝路,77
高雄市苓雅區忠孝二路,77
高雄市林園區工業二路,77
高雄市旗山區中山路,77
高雄市鳳山區鳳南一路,77
高雄市六龜區,76
高雄市鼓山區哨船街,76
高雄市岡山區國軒路,76
高雄市大樹區三和路,76
高雄市左營區城峰路,76
高雄市楠梓區益群路,76
高雄市新興區*六合路,76
高雄市鳳山區文龍路,75
高雄市前鎮區漁港路,75
高雄市鳳山區海洋二路,75
高雄市大寮區上寮路,75
高雄市大樹區大坑路,75
高雄市前鎮區林森三路,75
高雄市林園區仁愛路,75
高雄市林園區沿海路3段,75
高雄市苓雅區建民路,74
高雄市大寮區民族路,74
高雄市新興區八德二路,74
高雄市前金區自強二路,74
高雄市三民區建武路,74
高雄市湖內區中正路1段,73
高雄市前鎮區新衙路,73
高雄市苓雅區英明路,73
高雄市前金區新田路,73
高雄市岡山區寶米路,73
高雄市小港區南星路,72
高雄市鳳山區忠誠路,72
高雄市前金區民生二路,72
高雄市鹽埕區大仁路,72
高雄市前鎮區一德路,72
高雄市前鎮區金福路,71
高雄市小港區高坪二十二路,71
高雄市燕巢區深中路,71
高雄市前鎮區佛德街,71
高雄市楠梓區後昌新路,70
高雄市燕巢區中安路,70
高雄市鳳山區新強路,70
高雄市苓雅區澄清路,70
高雄市岡山區壽華路,70
高雄市楠梓區大學西路,70
高雄市楠梓區學專路,69
高雄市林園區中芸三路,69
高雄市楠梓區經三路,68
高雄市左營區中華一路,68
高雄市前鎮區籬仔內路,68
高雄市苓雅區青年二路,68
高雄市鹽埕區大公路,68
高雄市大社區大新路,68
高雄市大樹區龍目路,68
高雄市鳳山區油管路,68
高雄市彌陀區鹽埕大路,68
高雄市梓官區大舍東路,67
高雄市鼓山區慶豐街,67
高雄市岡山區聖森路,67
高雄市楠梓區大學東路,67
高雄市鼓山區明倫路,67
高雄市三民區村九如一路,67
高雄市鳳山區文化西路,66
高雄市小港區博學路,66
高雄市前鎮區武慶一路,66
高雄市橋頭區典昌路,66
高雄市鳳山區保生路,66
高雄市三民區哈爾濱街,66
高雄市鳳山區三誠路,66
高雄市新興區六合路,66
高雄市鳥松區大昌路,65
高雄市阿蓮區民生路,65
高雄市鼓山區博愛路,65
高雄市苓雅區復興二路,65
高雄市三民區黃興路,65
高雄市梓官區嘉展路,65
高雄市楠梓區清豐二路,64
高雄市大寮區一八八線道路,64
高雄市大社區三中路,64
高雄市林園區西溪路,64
高雄市前鎮區瑞和街,64
高雄市鳳山區大東一路,64
高雄市新興區五福一路,64
高雄市小港區民益路,64
高雄市林園區溪州一路,64
