road,count
苗栗縣苗栗市建功里府前路,22
苗栗縣苑裡鎮台61線,22
苗栗縣三灣鄉中正路,22
苗栗縣竹南鎮龍山路二段,22
苗栗縣苑裡鎮苗43線,21
苗栗縣頭份鎮自強路二段,21
苗栗縣竹南鎮頂埔里科學路,21
苗栗縣竹南鎮大埔里和興路,21
苗栗縣苑裡鎮苑南里中山路,21
苗栗縣造橋鄉台13甲,21
苗栗縣苗栗市福麗里民族路,21
苗栗縣卓蘭鎮中正路,21
苗栗縣公館鄉台6線,21
苗栗縣頭份市公北一路,21
苗栗縣頭份鎮顯會路,20
苗栗縣苑裡鎮客庄里新興路,20
苗栗縣苗栗市北安街,20
苗栗縣獅潭鄉台3線,20
苗栗縣苑裡鎮苗45線,20
苗栗縣竹南鎮聖福里建國路,20
苗栗縣竹南鎮科學路,20
苗栗縣三灣鄉台三線,20
苗栗縣苗栗市玉清街,20
苗栗縣苗栗市信義路,20
苗栗縣竹南鎮正南里環市路一段,20
苗栗縣苗栗市青苗里中正路,20
苗栗縣竹南鎮公園路,20
苗栗縣苑裡鎮苑港里中山路,19
苗栗縣頭份鎮中正三路,19
苗栗縣頭屋鄉國道1號,19
苗栗縣苑裡鎮中正路,19
苗栗縣苑裡鎮信義路,19
苗栗縣苗栗市福安里中華路,19
苗栗縣西湖鄉國道3號,19
苗栗縣竹南鎮崎頂里西部濱海快速道路,19
苗栗縣苗栗市福星里中華路,19
苗栗縣苗栗市維新里新庄街,19
苗栗縣銅鑼鄉新興路,19
苗栗縣竹南鎮建國路,19
苗栗縣頭屋鄉台13線,19
苗栗縣後龍鎮成功路,19
苗栗縣公館鄉玉泉村,19
苗栗縣頭份市永貞路一段,19
苗栗縣頭份市山下街,19
苗栗縣三義鄉台13,18
苗栗縣竹南鎮環市路,18
苗栗縣竹南鎮正南里福德路,18
苗栗縣苗栗市北苗里中華路,18
苗栗縣竹南鎮中華里新生路,18
苗栗縣竹南鎮中華里環市路二段,18
苗栗縣苑裡鎮大同路,18
苗栗縣苗栗市福麗里府前路,18
苗栗縣苗栗市上苗里中正路,18
苗栗縣苑裡鎮苑南里為公路,18
苗栗縣苗栗市福星街,18
苗栗縣三灣鄉台3線,18
苗栗縣頭份市永安街,18
苗栗縣頭份市德義路,18
苗栗縣竹南鎮聖福里龍天路,17
苗栗縣頭份鎮中興街,17
苗栗縣頭份鎮,17
苗栗縣竹南鎮佳興里公義路,17
苗栗縣公館鄉台72線,17
苗栗縣苑裡鎮社柑3路,17
苗栗縣苗栗市玉華里玉清路,17
苗栗縣竹南鎮台一己線,17
苗栗縣竹南鎮保福路,17
苗栗縣頭份鎮文化街,17
苗栗縣竹南鎮龍鳳里龍山路,17
苗栗縣後龍鎮光華路,17
苗栗縣苑裡鎮初中路,17
苗栗縣後龍鎮苗8線,17
苗栗縣苗栗市復興路一段,17
苗栗縣苗栗市日新街,17
苗栗縣苗栗市育英街,17
苗栗縣頭份市民生里中華路,17
苗栗縣頭份鎮公北一路,16
苗栗縣竹南鎮照南里延平路,16
苗栗縣苗栗市建功里忠孝路,16
苗栗縣竹南鎮龍山路,16
苗栗縣苗栗市福麗里忠貞路,16
苗栗縣三義鄉廣盛村中正路,16
苗栗縣後龍鎮,16
苗栗縣苗栗市三湖道路,16
苗栗縣銅鑼鄉銅鑼村自強路,16
苗栗縣苗栗市龍岡道前0.0公尺,16
苗栗縣頭份市頭份里中正路,16
苗栗縣頭份市公北三路,16
苗栗縣銅鑼鄉中平村,16
苗栗縣竹南鎮竹南里光復路,15
苗栗縣頭份鎮正興路,15
苗栗縣苗栗市建功里中山路,15
苗栗縣後龍鎮勝利街,15
苗栗縣竹南鎮國泰路,15
苗栗縣銅鑼鄉樟樹村,15
苗栗縣苑裡鎮台1,15
苗栗縣苗栗市台6,15
苗栗縣頭份鎮興隆路一段,15
苗栗縣苑裡鎮山柑里,15
苗栗縣苗栗市四維街,15
苗栗縣竹南鎮和興路,15
苗栗縣苗栗市文山里文發路,15
苗栗縣通霄鎮信義路,15
苗栗縣竹南鎮龍鳳里西部濱海快速道路,15
苗栗縣後龍鎮苗126線,15
苗栗縣竹南鎮環市路二段,15
苗栗縣苗栗市恭敬里恭敬路,15
苗栗縣竹南鎮崎頂里仁愛路,15
苗栗縣銅鑼鄉台13,15
苗栗縣後龍鎮台1線,15
苗栗縣頭份市興隆路一段,15
苗栗縣頭份市工業路,15
苗栗縣苗栗市維祥街,14
苗栗縣竹南鎮竹南里民權街,14
苗栗縣竹南鎮竹興里復興路,14
苗栗縣苗栗市上苗里中山路,14
苗栗縣公館鄉苗25線,14
苗栗縣竹南鎮新南里新南街,14
苗栗縣銅鑼鄉台72,14
苗栗縣竹南鎮大厝里新生路,14
苗栗縣頭份鎮忠孝二路,14
苗栗縣公館鄉通明街,14
苗栗縣苗栗市信義街,14
苗栗縣竹南鎮正南里大營路,14
苗栗縣三義鄉水美街,14
苗栗縣苑裡鎮苑南里和平路,14
苗栗縣後龍鎮中正路,14
苗栗縣苑裡鎮南北一路,14
苗栗縣竹南鎮正南里民族街,14
苗栗縣後龍鎮台61,14
苗栗縣苗栗市苗29線,14
苗栗縣通霄鎮中興路,14
苗栗縣頭份市東庄里自強路,14
苗栗縣卓蘭鎮台3線,14
苗栗縣頭份市公北二路,14
苗栗縣竹南鎮新南里維新路,14
苗栗縣苑裡鎮客庄里中山路,13
苗栗縣竹南鎮新南里勝利街,13
苗栗縣公館鄉苗128線,13
苗栗縣苑裡鎮南興路,13
苗栗縣竹南鎮中華里中正路,13
苗栗縣苗栗市建功里府東路,13
苗栗縣三義鄉苗140線,13
苗栗縣竹南鎮龍江街,13
苗栗縣苑裡鎮苑南里建國路,13
苗栗縣竹南鎮崎頂里天祥路,13
苗栗縣竹南鎮聖福里環市路三段,13
苗栗縣竹南鎮竹南里民治街,13
苗栗縣竹南鎮中英里復興路,13
苗栗縣銅鑼鄉銅鑼村新興路,13
苗栗縣公館鄉館中村大同路,13
苗栗縣苑裡鎮臨海路,13
苗栗縣竹南鎮龍安街,13
苗栗縣竹南鎮大埔街,13
苗栗縣竹南鎮新生路,13
苗栗縣竹南鎮真如路,13
苗栗縣苗栗市復興路三段,13
苗栗縣竹南鎮龍天路,13
苗栗縣頭份市東桃路,13
苗栗縣頭份市信東路二段,13
苗栗縣頭份市仁愛路,13
苗栗縣三義鄉苗51線,12
苗栗縣苑裡鎮為公路,12
苗栗縣苑裡鎮田中5路,12
苗栗縣卓蘭鎮,12
苗栗縣南庄鄉苗21線,12
苗栗縣竹南鎮竹南里和平街,12
苗栗縣竹南鎮竹興里竹圍街,12
苗栗縣後龍鎮四份仔路,12
苗栗縣頭屋鄉,12
苗栗縣竹南鎮大厝里國豐路,12
苗栗縣苑裡鎮中正里世界路,12
苗栗縣竹南鎮天文里龍江街,12
苗栗縣竹南鎮產業道路,12
苗栗縣苑裡鎮中正路一段,12
苗栗縣苗栗市新苗里中正路,12
苗栗縣竹南鎮西部濱海快速道路,12
苗栗縣苗栗市建功街32巷,12
苗栗縣竹南鎮功明街,12
苗栗縣造橋鄉台一線,12
苗栗縣竹南鎮山佳里佳北二街,12
苗栗縣通霄鎮五南里中山路,12
苗栗縣苗栗市台72線,12
苗栗縣苗栗市英才,12
苗栗縣銅鑼鄉台72線,12
苗栗縣竹南鎮竹南里延平路,12
苗栗縣竹南鎮大厝里南大路,12
苗栗縣苗栗市經國路四段,12
苗栗縣竹南鎮立達街,12
苗栗縣苗栗市上苗里建中街,12
苗栗縣西湖鄉台一線,12
苗栗縣竹南鎮台1,12
苗栗縣後龍鎮台13甲線,12
苗栗縣公館鄉五谷村,12
苗栗縣頭份市蘆竹路,12
苗栗縣苗栗市建功里縣府路,11
苗栗縣苗栗市福星里福園街,11
苗栗縣竹南鎮佳興里環市路,11
苗栗縣苑裡鎮苗140,11
苗栗縣竹南鎮中港里中正路,11
苗栗縣苗栗市新英里,11
苗栗縣公館鄉台6,11
苗栗縣公館鄉仁愛路,11
苗栗縣竹南鎮公義里友義路,11
苗栗縣造橋鄉台13,11
苗栗縣通霄鎮通西里信義路,11
苗栗縣通霄鎮平元里南和路一段,11
苗栗縣竹南鎮營盤里環市路,11
苗栗縣竹南鎮天文里龍山路,11
苗栗縣苗栗市和平路,11
苗栗縣苗栗市復興路四段,11
苗栗縣苗栗市建功里民族路,11
苗栗縣竹南鎮大厝里環市路二段,11
苗栗縣苑裡鎮苑南里大同路,11
苗栗縣後龍鎮北龍里中華路,11
苗栗縣苗栗市五谷路,11
苗栗縣苗栗市北苗里自治路,11
苗栗縣竹南鎮佳興里天祥路,11
苗栗縣竹南鎮開元里開元路,11
苗栗縣苑裡鎮苑南里信義路,11
苗栗縣苗栗市上苗里為公路,11
苗栗縣後龍鎮埔頂里厝勝路,11
苗栗縣苗栗市玉清里玉清路,11
苗栗縣苗栗市社寮街,11
苗栗縣後龍鎮新港三路,11
苗栗縣苑裡鎮苑北里天下路,11
苗栗縣竹南鎮龍山路一段,11
苗栗縣頭份市蘆竹里中華路,11
苗栗縣頭份市大同路,11
苗栗縣頭份市蟠桃里中央路,11
苗栗縣頭份市東庄里東民路,11
苗栗縣頭份市文英街,11
苗栗縣頭份市新華里中正一路,11
苗栗縣頭份市台一線,11
苗栗縣頭份市東民,11
苗栗縣頭份市國道1號,11
苗栗縣頭份市育樂街,11
苗栗縣頭份市信東,11
苗栗縣頭份鎮蘆竹路,10
苗栗縣頭份鎮大同路,10
苗栗縣後龍鎮龍山路,10
苗栗縣竹南鎮中港里守法街,10
苗栗縣苑裡鎮客庄里信義路,10
苗栗縣造橋鄉造橋村平仁路,10
苗栗縣竹南鎮新南里東平路,10
苗栗縣頭份鎮工業路,10
苗栗縣苑裡鎮田中3路,10
苗栗縣西湖鄉,10
苗栗縣大湖鄉,10
苗栗縣苗栗市苗中路,10
苗栗縣竹南鎮新南里永貞路二段,10
苗栗縣苑裡鎮苑南里南興路,10
